"";"geneID";"cluster"
"1048";"PTAFR";33
"1049";"TMTC4";33
"1050";"ADGRF5";33
"1051";"APLNR";33
"1052";"DNASE1L3";33
"1053";"SEMA6A";33
"1054";"TCIM";33
"1055";"UCK2";33
"1056";"TUBB6";65
"1057";"ENTPD1";65
"1058";"LYN";65
"1059";"FAM89A";65
"1060";"FLT4";65
"1061";"KRT222";65
"1062";"TUBB6";65
"1063";"PGF";46
"1064";"F2R";46
"1065";"IGFBP7";46
"1066";"RBMS1";46
"1067";"SPARC";46
"1068";"EPS8";46
"1069";"HES4";46
"1070";"PGF";46
"1071";"PPARG";39
"1072";"FAR1";39
"1073";"FGR";39
"1074";"HACD3";39
"1075";"MARK3";39
"1076";"VAV3";39
"1077";"FAR2";39
"1078";"HID1";39
"1079";"LYVE1";39
"1080";"PPARG";39
"1081";"PDE8B";32
"1082";"FBLN1";32
"1083";"ITGBL1";32
"1084";"PDGFRB";32
"1085";"PFN2";32
"1086";"S100A6";32
"1087";"SLC39A6";32
"1088";"TIMP2";32
"1089";"ID4";32
"1090";"KCNMA1";32
"1091";"PDE8B";32
"1092";"LRRC32";76
"1093";"FILIP1L";76
"1094";"FSTL3";76
"1095";"SPECC1";76
"1096";"ANGPT1";76
"1097";"LRRC32";76
"1098";"MAPK12";44
"1099";"FLNB";44
"1100";"IFITM3";44
"1101";"TM6SF1";44
"1102";"TNFSF10";44
"1103";"ABCC4";44
"1104";"ACVRL1";44
"1105";"MAPK12";44
"1106";"TAL1";58
"1107";"GFOD1";58
"1108";"ID1";58
"1109";"C19orf33";58
"1110";"CAVIN2";58
"1111";"MMP28";58
"1112";"TAL1";58
"1113";"MN1";47
"1114";"GLIPR2";47
"1115";"GPX8";47
"1116";"KIAA1755";47
"1117";"MXI1";47
"1118";"PLP2";47
"1119";"SSC5D";47
"1120";"MN1";47
"1121";"SOX13";38
"1122";"GRB14";38
"1123";"MTG1";38
"1124";"RYR3";38
"1125";"SLPI";38
"1126";"SSTR1";38
"1127";"TMC7";38
"1128";"FAM124A";38
"1129";"NOG";38
"1130";"SOX13";38
"1131";"CD320";45
"1132";"HERC2P9";45
"1133";"INSIG1";45
"1134";"MANSC1";45
"1135";"PTPRM";45
"1136";"SPTAN1";45
"1137";"TACC1";45
"1138";"CD320";45
"1139";"TMEM74B";80
"1140";"HLA-F";80
"1141";"ATP11C";80
"1142";"CHI3L1";80
"1143";"PGS1";80
"1144";"TMEM74B";80
"1145";"PTPRS";37
"1146";"HSPB6";37
"1147";"LGALS3BP";37
"1148";"NDN";37
"1149";"OLFML2B";37
"1150";"PHLDA1";37
"1151";"SERPING1";37
"1152";"TPM2";37
"1153";"MT1M";37
"1154";"PTPRS";37
"1155";"NLGN1";70
"1156";"IFITM2";70
"1157";"NDRG4";70
